player_id,bb_count,air,pull_air,pull_fb,pull,fly_ball,line_drive,ground,avg_ev,avg_la,pull_air_pct,pull_fb_pct,pull_pct,air_pct
553993,55,28,14,4,27,12,16,22,85.43529411764706,16.705882352941178,25.454545454545453,7.2727272727272725,49.09090909090909,50.90909090909091
683083,55,24,4,1,20,10,14,29,79.52909090909091,5.0,7.2727272727272725,1.8181818181818181,36.36363636363637,43.63636363636363
668804,55,28,10,4,28,13,15,26,91.36181818181818,6.909090909090909,18.181818181818183,7.2727272727272725,50.90909090909091,50.90909090909091
693307,55,30,9,5,26,17,13,24,91.86851851851851,9.944444444444445,16.363636363636363,9.090909090909092,47.27272727272727,54.54545454545455
669236,54,25,12,6,32,14,11,28,88.7622641509434,2.888888888888889,22.22222222222222,11.11111111111111,59.25925925925926,46.2962962962963
592518,54,25,11,5,26,10,15,23,86.56111111111112,7.444444444444445,20.37037037037037,9.25925925925926,48.148148148148145,46.2962962962963
682657,54,26,10,5,24,13,13,22,87.00555555555556,18.11111111111111,18.51851851851852,9.25925925925926,44.44444444444444,48.148148148148145
673357,54,20,4,1,22,10,10,31,90.02962962962964,7.203703703703703,7.407407407407407,1.8518518518518519,40.74074074074074,37.03703703703704
608369,54,28,10,6,28,18,10,21,90.29074074074073,17.09259259259259,18.51851851851852,11.11111111111111,51.851851851851855,51.851851851851855
621020,53,28,15,10,30,20,8,22,90.51132075471699,13.358490566037736,28.30188679245283,18.867924528301888,56.60377358490566,52.83018867924528
693304,53,20,4,1,20,9,11,30,85.96603773584906,3.5283018867924527,7.547169811320755,1.8867924528301887,37.735849056603776,37.735849056603776
671732,53,24,6,1,24,10,14,26,89.19056603773586,3.2830188679245285,11.320754716981131,1.8867924528301887,45.283018867924525,45.283018867924525
682668,53,18,0,0,19,12,6,32,86.71132075471698,3.1320754716981134,0.0,0.0,35.84905660377358,33.9622641509434
666969,53,29,5,1,20,13,16,18,92.80943396226414,17.660377358490567,9.433962264150944,1.8867924528301887,37.735849056603776,54.716981132075475
701350,53,27,5,1,20,13,14,25,92.49038461538461,10.307692307692308,9.433962264150944,1.8867924528301887,37.735849056603776,50.943396226415096
681082,52,22,6,4,26,14,8,27,89.63653846153846,8.884615384615385,11.538461538461538,7.6923076923076925,50.0,42.30769230769231
686797,52,25,10,7,24,14,11,21,86.86346153846154,16.03846153846154,19.23076923076923,13.461538461538462,46.15384615384615,48.07692307692308
687859,52,30,8,5,21,13,17,21,88.29230769230769,6.8076923076923075,15.384615384615385,9.615384615384615,40.38461538461539,57.69230769230769
690993,52,26,10,3,25,14,12,24,94.20384615384616,10.826923076923077,19.23076923076923,5.769230769230769,48.07692307692308,50.0
641343,52,25,9,7,29,14,11,23,92.10192307692309,10.884615384615385,17.307692307692307,13.461538461538462,55.76923076923077,48.07692307692308
670623,52,32,17,10,27,18,14,12,88.00961538461539,27.903846153846153,32.69230769230769,19.23076923076923,51.92307692307692,61.53846153846154
592450,52,25,11,7,26,17,8,20,91.61346153846154,15.01923076923077,21.153846153846153,13.461538461538462,50.0,48.07692307692308
668930,51,27,4,1,11,15,12,23,93.056,11.26,7.8431372549019605,1.9607843137254901,21.568627450980394,52.94117647058823
669701,51,27,10,6,25,16,11,20,86.12352941176471,12.27450980392157,19.607843137254903,11.764705882352942,49.01960784313726,52.94117647058823
571970,51,27,12,8,29,19,8,23,92.01764705882353,14.019607843137255,23.529411764705884,15.686274509803921,56.86274509803921,52.94117647058823
542303,51,27,8,3,21,13,14,14,88.146,25.32,15.686274509803921,5.882352941176471,41.1764705882353,52.94117647058823
650859,51,23,9,3,26,8,15,26,86.7156862745098,5.666666666666667,17.647058823529413,5.882352941176471,50.98039215686274,45.09803921568628
691026,50,21,8,2,25,10,11,22,84.986,15.34,16.0,4.0,50.0,42.0
691777,50,24,12,4,24,13,11,24,93.184,9.18,24.0,8.0,48.0,48.0
663647,50,29,4,2,11,17,12,17,89.82978723404256,19.595744680851062,8.0,4.0,22.0,58.0
630105,50,19,2,2,19,10,9,28,87.306,5.78,4.0,4.0,38.0,38.0
672960,50,21,10,2,25,9,12,22,90.236,16.82,20.0,4.0,50.0,42.0
676609,50,22,11,3,28,11,11,25,82.39399999999999,7.9,22.0,6.0,56.0,44.0
682998,50,28,10,3,24,14,14,20,90.884,10.34,20.0,6.0,48.0,56.0
657757,50,22,7,4,18,9,13,21,89.014,11.6,14.0,8.0,36.0,44.0
663743,50,17,9,4,22,8,9,27,86.792,7.46,18.0,8.0,44.0,34.0
