season,split,team,pa,ab,h,hr,bb,so,rbi,avg,obp,slg,ops
2026,risp,Pittsburgh Pirates,278,234,52,7,29,69,80,0.222,0.318,0.359,0.677
2026,risp,New York Mets,209,178,39,2,21,49,49,0.219,0.303,0.298,0.601
2026,risp,Seattle Mariners,230,191,41,6,31,57,64,0.215,0.33,0.351,0.681
2026,risp,St. Louis Cardinals,265,210,45,4,35,56,75,0.214,0.319,0.31,0.629
2026,risp,New York Yankees,206,168,36,8,31,55,65,0.214,0.33,0.423,0.753
2026,risp,Chicago White Sox,203,171,36,9,18,51,53,0.211,0.305,0.404,0.709
2026,risp,Kansas City Royals,215,185,37,2,20,52,49,0.2,0.277,0.259,0.536
2026,risp,Cincinnati Reds,216,182,34,7,28,51,56,0.187,0.296,0.352,0.648
2026,lc,Cleveland Guardians,95,81,28,7,12,15,22,0.346,0.442,0.667,1.109
2026,lc,San Diego Padres,92,72,23,3,16,12,20,0.319,0.429,0.542,0.971
2026,lc,Washington Nationals,110,97,29,2,8,23,15,0.299,0.37,0.443,0.813
2026,lc,Baltimore Orioles,101,85,25,5,14,23,22,0.294,0.396,0.553,0.949
2026,lc,Tampa Bay Rays,103,89,25,5,10,26,18,0.281,0.363,0.494,0.857
2026,lc,Texas Rangers,88,76,21,3,11,27,13,0.276,0.368,0.461,0.829
2026,lc,Los Angeles Dodgers,71,59,16,4,8,14,11,0.271,0.362,0.492,0.854
2026,lc,Toronto Blue Jays,123,108,29,1,13,19,13,0.269,0.344,0.352,0.696
2026,lc,Athletics,133,109,28,4,19,31,20,0.257,0.359,0.431,0.79
2026,lc,Miami Marlins,76,63,16,1,11,16,9,0.254,0.382,0.365,0.747
2026,lc,Milwaukee Brewers,100,81,20,2,15,20,14,0.247,0.371,0.395,0.766
2026,lc,Minnesota Twins,84,69,17,2,12,24,8,0.246,0.369,0.391,0.76
2026,lc,Pittsburgh Pirates,153,128,31,1,22,37,14,0.242,0.362,0.305,0.667
