player,player_id,b_total_pa,bb_count,exit_velocity_avg,pull_air_pct,iz_contact_pct,swg_dec,z_ev,z_pullair,z_izcon,z_swgdec,composite_z,min_z,rank_ev,rank_pullair,rank_izcon,rank_swgdec,rank_composite_z,rank_min_z,z_swing_percent,oz_swing_percent,iz_contact_percent,woba,xwoba,barrel_batted_rate,hard_hit_percent
Byron Buxton,621439,115,59.0,88.2,22.033898305084747,81.3,68.44999999999999,-0.36246807486405375,0.681495177907116,-0.4214702310332651,0.157430634622814,0.013746876658152794,-0.4214702310332651,191,72,204,129,152,66,72.1,35.2,81.3,0.325,0.305,15.8,46.1
Masataka Yoshida,807799,56,28.0,89.8,14.285714285714286,92.0,64.2,0.20259078048688503,-0.4013351674486371,1.27189589319426,-1.0421316812796704,0.007754956238209432,-1.0421316812796704,118,196,33,251,153,158,51.0,22.6,92.0,0.34,0.302,0.0,42.5
Ryan McMahon,641857,72,27.0,93.3,14.814814814814817,78.9,66.9,1.438657026567068,-0.3273918915505011,-0.8012906701123347,-0.28005679823573576,0.007479416667124081,-0.8012906701123347,19,187,237,187,154,122,58.1,24.3,78.9,0.266,0.29,9.5,57.1
Tristan Peters,671976,65,28.0,89.3,28.571428571428573,71.9,69.0,0.026009888189716047,1.5951332818010326,-1.9091002840929583,0.3126681107984334,0.006177749174055919,-1.9091002840929583,144,13,284,117,155,255,75.0,37.0,71.9,0.297,0.28,4.3,27.7
Daniel Schneemann,682177,75,37.0,90.4,27.027027027027028,81.0,63.25,0.41448785124349086,1.3792988548551224,-0.4689477859181485,-1.3102691401284627,0.0036424450130004837,-1.3102691401284627,90,22,207,266,156,193,60.6,34.1,81.0,0.425,0.38,13.0,43.5
Alek Thomas,677950,80,47.0,90.6,12.76595744680851,89.2,65.3,0.4851202081623544,-0.6137254280071127,0.8287720476020112,-0.7316567289284397,-0.007872475292796721,-0.7316567289284397,86,221,62,233,157,111,72.7,42.1,89.2,0.287,0.306,8.3,45.0
J.P. Crawford,641487,87,38.0,89.1,7.894736842105263,92.2,67.9,-0.044622468729152556,-1.2944921052708578,1.3035475964508498,0.0021931584472026926,-0.00834345477548945,-1.2944921052708578,157,265,31,146,158,188,54.2,18.4,92.2,0.295,0.365,8.8,38.6
Gary Sánchez,596142,73,29.0,89.1,24.13793103448276,81.5,65.85,-0.044622468729152556,0.9755396251373423,-0.38981852777667536,-0.5764192527528244,-0.008830156030327496,-0.5764192527528244,157,47,200,221,159,90,53.6,21.9,81.5,0.41,0.407,16.3,39.5
Sal Frelick,686217,98,56.0,85.5,10.714285714285714,92.3,70.9,-1.3160048932687674,-0.9004522797610548,1.3193734480791435,0.848943028496018,-0.01203517411366517,-1.3160048932687674,269,239,28,63,160,195,62.9,21.1,92.3,0.262,0.279,1.4,22.9
Cole Young,702284,114,60.0,87.9,25.0,77.4,69.1,-0.4684166102423541,1.096016169488615,-1.038678444536754,0.3408931064667256,-0.017546444705941897,-1.038678444536754,206,32,252,114,161,156,66.5,28.3,77.4,0.33,0.343,7.7,38.5
Mike Yastrzemski,573262,94,49.0,90.8,20.40816326530612,83.5,64.25,0.5557525650812231,0.4542941679440778,-0.07330149521078289,-1.0280191834455241,-0.022818486407751526,-1.0280191834455241,75,91,164,249,162,151,58.7,30.2,83.5,0.241,0.253,3.3,43.3
Riley Greene,682985,120,58.0,89.9,12.06896551724138,83.6,69.25,0.23790695894632186,-0.7111319957804824,-0.05747564358248917,0.383230599969168,-0.03686752011187042,-0.7111319957804824,112,230,163,109,163,107,62.8,24.3,83.6,0.388,0.401,13.5,48.6
Blaze Alexander,677942,65,35.0,92.1,8.571428571428571,70.0,75.85,1.0148628850538615,-1.199922547148505,-2.2097914650305572,2.24608031407656,-0.03719270326216029,-2.2097914650305572,43,262,290,3,164,277,85.5,33.8,70.0,0.206,0.311,2.6,48.7
Alex Freeland,690976,77,38.0,90.3,21.05263157894737,75.8,68.6,0.379171672784054,0.5443604137748908,-1.2918920705894694,0.19976812812525638,-0.042147963976317086,-1.2918920705894694,95,83,264,123,165,186,57.2,20.0,75.8,0.283,0.317,12.8,40.4
Marcelo Mayer,691785,76,43.0,88.0,2.3255813953488373,87.9,73.95,-0.43310043178292235,-2.0727971249599886,0.6230359764341815,1.7098053963789794,-0.04326404598243749,-2.0727971249599886,202,292,79,11,166,270,71.7,23.8,87.9,0.31,0.301,10.3,43.1
James Wood,695578,141,57.0,96.8,7.017543859649122,78.5,65.85,2.6747232726472507,-1.417082273207241,-0.8645940766255141,-0.5764192527528244,-0.04584308248458219,-1.417082273207241,2,275,240,221,167,206,53.1,21.4,78.5,0.41,0.446,29.9,64.2
Luis Arraez,650333,115,78.0,86.2,11.538461538461538,93.6,68.35,-1.0687916440527296,-0.7852714076889583,1.5251095192469732,0.12920563895452178,-0.049936973385048204,-1.0687916440527296,260,233,15,133,168,163,66.5,29.8,93.6,0.32,0.315,0.0,17.1
CJ Abrams,682928,118,65.0,89.5,21.53846153846154,80.8,66.4,0.09664224510858464,0.6122565067858107,-0.5005994891747382,-0.42118177657720496,-0.05322062846438695,-0.5005994891747382,131,79,213,204,169,73,67.9,35.1,80.8,0.388,0.386,12.7,44.3
